CIP,C,13	CIP7,C,7	PRIX_F,N,10,0	PRIX_E,N,10,0	FAB_HT_F,N,11,0	FAB_HT_E,N,11,0	TAUX,C,3	DATE_APPLI,D	DATE_JO,D
3400932387137	3238713	0	478	0	305	030	02/05/11	06/04/11
3400932387366	3238736	0	781	0	536	065	01/01/12	
3400932387366	3238736	0	799	0	536	065	07/03/08	06/03/08
3400932387656	3238765	0	475	0	303	030	01/01/12	
3400932387656	3238765	0	475	0	303	030	02/05/11	06/04/11
3400932390328	3239032	0	322	0	184	065	01/01/12	
3400932390328	3239032	0	310	0	184	065	07/03/08	06/03/08
3400932391387	3239138	0	1141	0	802	065	01/01/12	
3400932391387	3239138	0	1168	0	802	065	07/03/08	06/03/08
3400932393169	3239316	0	404	0	248	065	01/01/12	
3400932393169	3239316	0	399	0	248	065	07/03/08	06/03/08
3400932394111	3239411	0	1284	0	907	065	15/09/13	12/09/13
3400932394111	3239411	0	1303	0	921	065	01/03/13	29/01/13
3400932394111	3239411	0	1418	0	1006	065	01/01/12	
3400932394111	3239411	0	1451	0	1006	065	07/03/08	06/03/08
3400932395231	3239523	0	207	0	110	015	18/06/10	17/06/10
3400932396580	3239658	0	380	0	229	065	01/01/12	
3400932396580	3239658	0	372	0	229	065	07/03/08	06/03/08
3400932396641	3239664	0	431	0	269	065	01/01/12	
3400932396641	3239664	0	428	0	269	065	07/03/08	06/03/08
3400932396702	3239670	0	380	0	229	065	01/01/12	
3400932396702	3239670	0	372	0	229	065	07/03/08	06/03/08
3400932399192	3239919	0	359	0	213	015	01/01/12	
3400932399192	3239919	0	350	0	213	015	17/04/10	16/04/10
3400932399482	3239948	0	360	0	214	065	01/01/12	
3400932399482	3239948	0	351	0	214	065	07/03/08	06/03/08
3400932400706	3240070	0	758	0	519	030	01/01/12	
3400932400706	3240070	0	775	0	519	030	02/05/11	06/04/11
3400932400874	3240087	0	1854	0	1328	030	01/01/12	
3400932400874	3240087	0	1899	0	1328	030	02/05/11	06/04/11
3400932403028	3240302	0	342	0	200	065	01/01/12	
3400932403028	3240302	0	332	0	200	065	07/03/08	06/03/08
3400932404438	3240443	0	503	0	325	065	01/01/12	
